"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","VersionLastChanged","CHNG_TYPE","DefinitionDescription","STATUS","CONSUMER_NAME","CLASSTYPE","FORMULA","EXMPL_ANSWERS","SURVEY_QUEST_TEXT","SURVEY_QUEST_SRC","UNITSREQUIRED","RELATEDNAMES2","SHORTNAME","ORDER_OBS","HL7_FIELD_SUBFIELD_ID","EXTERNAL_COPYRIGHT_NOTICE","EXAMPLE_UNITS","LONG_COMMON_NAME","EXAMPLE_UCUM_UNITS","STATUS_REASON","STATUS_TEXT","CHANGE_REASON_PUBLIC","COMMON_TEST_RANK","COMMON_ORDER_RANK","HL7_ATTACHMENT_STRUCTURE","EXTERNAL_COPYRIGHT_LINK","PanelType","AskAtOrderEntry","AssociatedObservations","VersionFirstReleased","ValidHL7AttachmentRequest","DisplayName"
"21476-7","Potassium","SCnc","24H","Urine","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","1 day; 24 hours; 24HR; Chemistry; k; K+; Kidney; Level; Nephrology; Potass; QNT; Quan; Quant; Quantitative; Renal; Substance Concentration; UA; UR; Urn","Potassium 24h Ur-sCnc","Both","","","mmol/L;mEq/L","Potassium [Moles/volume] in 24 hour Urine","mmol/L","","","","3550","0","","","","","","1.0m","","Potassium (24H U) [Moles/Vol]"
"22760-3","Potassium","MCnc","Pt","Ser/Plas","Qn","","CHEM","2.73","MIN","","DISCOURAGED","","1","","","","","Y","Chemistry; k; K+; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","Potassium SerPl-mCnc","Both","","","","Potassium [Mass/volume] in Serum or Plasma","","","No units are associated with this term - cannot verify validity","","5680","0","","","","","","1.0n","","Potassium [Mass/Vol]"
"23667-9","Bacteria","Prid","Pt","XXX","Nom","","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Misc; Miscellaneous; Nominal; Other; Point in time; Random; Spec; To be specified in another part of the message; Unspecified","Bacteria Spec","Both","","","","Bacteria identified in Specimen","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","4829","0","","","","","","1.0n","","Bacteria identified Nom (Specimen)"
"25145-4","Bacteria","PrThr","Pt","Urine sed","Ord","Microscopy.light","UA","2.73","MIN","","ACTIVE","","1","","Few, Mod, Many","","","","Bact; ID; Infectious Disease; InfectiousDisease; Kidney; LM; Micro; Micros; Microscopic; Nephrology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Renal; Screen; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS","Bacteria UrnS Ql Micro","Observation","","","","Bacteria [Presence] in Urine sediment by Light microscopy","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","152","0","","","","","","2.00","","Bacteria LM Ql (Urine sed)"
"25506-7","Potassium","SCnt","Pt","Stool","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","Bowel movement; Chemistry; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; k; K+; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Stl; Stool = Fecal; Substance Content","Potassium Stl-sCnt","Both","","","mEq/kg liq stl; mmol/kg","Potassium [Moles/mass] in Stool","mmol/kg","","","","19796","0","","","","","","2.00","","Potassium (Stl) [Moles/Mass]"
"27441-5","Potassium","SCnt","24H","Stool","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","1 day; 24 hours; 24HR; Bowel movement; Chemistry; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; k; K+; Potass; QNT; Quan; Quant; Quantitative; Stl; Stool = Fecal; Substance Content","Potassium 24h Stl-sCnt","Both","","","mEq/kg","Potassium [Moles/mass] in 24 hour Stool","meq/kg","","","","17879","0","","","","","","2.00","","Potassium (24H Stl) [Moles/Mass]"
"2819-1","Potassium","SCnc","Pt","CSF","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","Cerebral spinal fluid; Cerebrospinal Fl; Chemistry; k; K+; Level; Neuro; Neurology; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid; Substance concentration","Potassium CSF-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Cerebral spinal fluid","mmol/L","","","","19223","0","","","","","","1.0","","Potassium (CSF) [Moles/Vol]"
"2820-9","Potassium","SCnc","Pt","Dial fld","Qn","","CHEM","2.34","MIN","","ACTIVE","","1","","","","","Y","Chemistry; Diaf; Dialysate; Dialysis fluid; k; K+; Kidney; Level; Nephrology; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Renal; Substance Concentration","Potassium Dial fld-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Dialysis fluid","mmol/L","","","","0","0","","","","","","1.0","","Potassium (Dial fld) [Moles/Vol]"
"2821-7","Potassium","SCnc","Pt","Body fld","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","B/F; BF; bod; Bodies; Body fluid; Body fluid, unsp; Chemistry; Fl; Fld; FLU; Fluid; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration","Potassium Fld-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Body fluid","mmol/L","","","","1056","0","","","","","","1.0","","Potassium (Body fld) [Moles/Vol]"
"2822-5","Potassium","SCnc","Pt","Gast fld","Qn","","CHEM","2.34","MIN","","ACTIVE","","1","","","","","Y","Chemistry; GAST; Gastric contents; Gastric fluid; Gastro; Gastroenterology; GI; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration","Potassium Gast-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Gastric fluid","mmol/L","","","","0","0","","","","","","1.0","","Potassium (Gast fld) [Moles/Vol]"
"2823-3","Potassium","SCnc","Pt","Ser/Plas","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","Chemistry; k; K+; Level; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders","Potassium SerPl-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Serum or Plasma","mmol/L","","","","7","74","","","","","","1.0","","Potassium [Moles/Vol]"
"2824-1","Potassium","SCnc","Pt","RBC","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","Chemistry; Erythrocytes; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Red blood cells; Red blood corpusles; Substance concentration","Potassium RBC-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Red Blood Cells","mmol/L","","","","10742","0","","","","","","1.0","","Potassium (RBC) [Moles/Vol]"
"2825-8","Potassium","SCnc","Pt","Saliva","Qn","","CHEM","2.42","MIN","","ACTIVE","","1","","","","","Y","Chemistry; k; K+; Level; Oral fluid; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Sal; Substance concentration","Potassium Sal-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Saliva (oral fluid)","mmol/L","","","","0","0","","","","","","1.0","","Potassium (Sal) [Moles/Vol]"
"2826-6","Potassium","SRat","72H","Stool","Qn","","CHEM","2.42","MIN","","ACTIVE","","1","","","","","Y","3 days; 72 hours; 72HR; Bowel movement; Chemistry; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; k; K+; Potass; QNT; Quan; Quant; Quantitative; sRate; Stl; Stool = Fecal; Substance Rate","Potassium 72h Stl-sRate","Both","","","mmol/72 H","Potassium [Moles/time] in 72 hour Stool","mmol/(72.h)","","","","0","0","","","","","","1.0","","Potassium (72 hour Stl) [Moles/Time]"
"2827-4","Potassium","SCnc","Pt","Sweat","Qn","","CHEM","2.34","MIN","","ACTIVE","","1","","","","","Y","Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration; SWT","Potassium Sweat-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Sweat","mmol/L","","","","0","0","","","","","","1.0","","Potassium (Sweat) [Moles/Vol]"
"2828-2","Potassium","SCnc","Pt","Urine","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration; UA; UniversalLabOrders; UR; Urn","Potassium Ur-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Urine","mmol/L","","","","901","182","","","","","","1.0","","Potassium (U) [Moles/Vol]"
"2829-0","Potassium","SRat","24H","Urine","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","Y","1 day; 24 hours; 24HR; Chemistry; k; K+; Kidney; Nephrology; Potass; QNT; Quan; Quant; Quantitative; Renal; sRate; Substance Rate; UA; UR; Urn","Potassium 24h Ur-sRate","Both","","","mmol/24 H","Potassium [Moles/time] in 24 hour Urine","mmol/(24.h)","","","","2663","0","","","","","","1.0","","Potassium (24H U) [Moles/Time]"
"2830-8","Potassium renal clearance","VRat","24H","Urine+Ser/Plas","Qn","","CHEM","2.66","MIN","","ACTIVE","","1","","","","","Y","1 day; 24 hours; 24HR; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; Flow; k; K+; Kidney; Pl; Plasma; Plsm; Potass; QNT; Quan; Quant; Quantitative; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UR; Ur+SerPl; Urn; Volume rate; vRate","Potassium Cl 24h Ur+SerPl-vRate","Both","","","mL/min","Potassium renal clearance in 24 hour Urine and Serum or Plasma","mL/min","","","","0","0","","","","","","1.0","","Potassium renal clearance (24H U+S/P) [Vol/Time]"
"30549-0","Potassium","SCnc","Pt","TPN","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","N","","","N","Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration; Total parental nutrition","Potassium TPN-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Total parental nutrition","mmol/L","","","","0","0","","","","","","2.04","","Potassium (Total parental nutrition) [Moles/Vol]"
"3105-4","Urobilinogen","PrThr","Pt","Stool","Ord","","CHEM","2.56","MIN","","ACTIVE","","1","","","","","","Bowel movement; Chemistry; Faecal; Faeces; Fecal; Feces; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Stl; Stool = Fecal; UBG; Urobili; Urobilngn","Urobilinogen Stl Ql","Both","","","","Urobilinogen [Presence] in Stool","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","","","","","","1.0","","Urobilinogen Ql (Stl)"
"31157-1","Carboxyhemoglobin","MCnc","Pt","Bld","Qn","","CHEM","2.73","MIN","Requester confirmed that this is g/dL, not saturation.","ACTIVE","","1","","","","","N","Blood; Carbon monoxide.hemoglobin; Carbonmonoxyhemoglobin; Carbonyl haemoglobin; Carbonyl hemoglobin; Carbonyl Hgb; Carboxyhaemoglobin; Carboxyhemoglob; Chemistry; CO haemoglobin; CO hemoglobin; COHb; COHgb; HbCO; Hemoglobin bound with carbon dioxide; Level; Lung; Mass Concentration; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; WB; Whole blood","COHgb Bld-mCnc","Both","","","g/dL","Carboxyhemoglobin [Mass/volume] in Blood","g/dL","","","","2508","0","","","","","","2.07","","Carboxyhemoglobin (Bld) [Mass/Vol]"
"31219-9","Afipia felis Ab.IgM","ACnc","Pt","Ser","Qn","","MICRO","2.69","MIN","","ACTIVE","","1","","","","","N","A felis; ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; Cat Scratch Disease; Cat Scratch Fever; ID; Immune globulin M; Immunoglobulin M; Infectious Disease; InfectiousDisease; Microbiology; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR","A felis IgM Ser-aCnc","Both","","","","Afipia felis IgM Ab [Units/volume] in Serum","[arb'U]/mL","","","","0","0","","","","","","2.07","","A. felis IgM Qn (S)"
"31750-3","Bovine inner ear Ag","PrThr","Pt","Ser/Plas","Ord","","SERO","2.56","MIN","","ACTIVE","","1","","","","","N","Antigen; Antigens; Beef; Bov Inner Ear; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serology; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","Bov Inner Ear Ag SerPl Ql","Both","","","","Bovine inner ear Ag [Presence] in Serum or Plasma","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","","","","","","2.07","","Bovine inner ear Ag Ql"
"32336-0","Potassium","SCnc","Pt","XXX","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","N","Chemistry; k; K+; Level; Misc; Miscellaneous; Other; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Spec; Substance Concentration; To be specified in another part of the message; Unspecified","Potassium Spec-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Specimen","mmol/L","","","","5188","0","","","","","","2.07","","Potassium (Specimen) [Moles/Vol]"
"32355-0","Bacteria","Prid","Pt","XXX","Nom","Respiratory culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Misc; Miscellaneous; Nominal; Other; Point in time; Random; Resp Cult; Spec; To be specified in another part of the message; UniversalLabOrders; Unspecified","Bacteria Spec Resp Cult","Both","","","","Bacteria identified in Specimen by Respiratory culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","884","0","","","","","","2.07","","Bacteria identified Respiratory culture Nom (Specimen)"
"32367-5","Bacteria","Prid","Pt","Isolate","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","Haemophilus somnus","","","N","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Islt; Isol; Microbiology; Nominal; Point in time; Random","Bacteria Islt Aerobe Cult","Both","","","","Bacteria identified in Isolate by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","3155","0","","","","","","2.07","","Bacteria identified Aer cx Nom (Isol)"
"32550-6","Potassium","Sub","XXX","Urine","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","N","?Tm; Chemistry; k; K+; Potass; QNT; Quan; Quant; Quantitative; Substance Amount; UA; UR; Urn","Potassium ?Tm sub Ur Qn","Both","","","mmol","Potassium [Molar amount] in Urine collected for unspecified duration","mmol","","","","0","0","","","","","","2.08","","Potassium Unsp time (U) [Molar amount]"
"32713-0","Potassium","SCnc","Pt","BldA","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","N","ABG; ART; Art bld; Art blood; Arterial; Arterial blood; Blood arterial; Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration","Potassium BldA-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Arterial blood","mmol/L","","","","310","0","","","","","","2.09","","Potassium (BldA) [Moles/Vol]"
"32763-5","Bacteria","PrThr","Pt","XXX","Ord","Wet preparation","MICRO","2.73","MIN","","ACTIVE","","1","","None seen;Few;Many","","","N","Bact; ID; Infectious Disease; InfectiousDisease; Microbiology; Misc; Miscellaneous; Ordinal; Other; Point in time; PR; Prep; QL; Qual; Qualitative; Random; Screen; Spec; To be specified in another part of the message; Unspecified; Wet mount; Wet prep","Bacteria Spec Ql Wet Prep","Both","","","","Bacteria [Presence] in Specimen by Wet preparation","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","3562","0","","","","","","2.09","","Bacteria Wet prep Ql (Specimen)"
"32810-4","Bacteria","Prid","Pt","Bronchial","Nom","","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; Bro; ID; Identity or presence; Infectious Disease; InfectiousDisease; Lung; Microbiology; Nominal; Point in time; Pulmonary; Pulmonology; Random; Respiratory","Bacteria Bronch","Both","","","","Bacteria identified in Bronchial specimen","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","19421","0","","","","","","2.09","","Bacteria identified Nom (Bronch spec)"
"33218-9","Bacteria","Naric","Pt","Urine sed","Qn","Automated count","UA","2.73","MIN","Automated counters measure the number concentration directly and calculate values for the per HPF (or per LPF) when the laboratory chooses them.  These analyzers generate the # per HPF or per LPF (as the particle requires) assuming a spun urine based on relationships between the volume of spun and unspun urine.","ACTIVE","","1","","","","","N","#/area; Auto; Automated detection; Bact; Elec; Elect; Electr; ID; Infectious Disease; InfectiousDisease; Kidney; Nephrology; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS","Bacteria #/area UrnS Auto","Observation","","","/HPF","Bacteria [#/area] in Urine sediment by Automated count","/[HPF]","","","Specimen changed from Urine to Urine sediment since results generated by analyzers assume a spun urine.","302","0","","","","","","2.09","","Bacteria Auto (Urine sed) [#/Area]"
"34703-9","Hepatitis C virus RNA","ACnc","Pt","Ser/Plas","Qn","Probe.amp.tar detection limit = 500 IU/mL","MICRO","2.70","MIN","","ACTIVE","","1","","","","","N","3 Self-Sustaining Sequence Replication; 3SR SR; Amplif; Amplification; Amplified; Arbitrary concentration; DNA NUCLEIC ACID PROBE; DNA probe; HCV; Hep; Hep C; Hepatis; Hepatit; Hepatology; ID; Infectious Disease; InfectiousDisease; LAT; LCR; Ligase chain reaction; Ligation-activated transcription; Liver; Microbiology; NAA DL=500; NAA+probe; NAAT; NASBA; Nucleic acid sequence based analysis; PCR; Pl; Plasma; Plsm; Point in time; Polymerase chain reaction; Probe amp; Probe with ampification; Probe with target amplification; QBR; QNT; Quan; Quant; Quantitative; Random; Ribonucleic acid; SDA; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Strand Displacement Amplification; TMA; Transcription mediated amplification; Viral load","HCV RNA SerPl NAA DL=500-aCnc","Both","","","IU/mL","Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe and target amplification method detection limit = 500 IU/mL","[IU]/mL","","","","0","0","","","","","","2.11","","HCV RNA NAA+probe DL = 500 IU/mL Qn"
"35677-4","Potassium","SCnc","XXX","Urine","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","N","?Tm; Chemistry; k; K+; Level; Potass; QNT; Quan; Quant; Quantitative; Substance Concentration; UA; UR; Urn","Potassium ?Tm Ur-sCnc","Both","","","nmol/L","Potassium [Moles/volume] in Urine collected for unspecified duration","nmol/L","","","","8008","0","","","","","","2.13","","Potassium Unsp time (U) [Moles/Vol]"
"36921-5","Herpes simplex virus 1+2 Ab.IgG","PrThr","Pt","Ser","Ord","","MICRO","2.73","MIN","","ACTIVE","","1","","","","","N","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Herp splx; Herpes simplex virus type 1; Herpes simplex virus type 1+2; Herpes simplex virus type I+II; HSV; HSV 1+2; HSV1; HSV1+2; i; ID; II; Immune globulin G; Immunoglobulin G; Infectious Disease; InfectiousDisease; Microbiology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serum; SR","HSV1+2 IgG Ser Ql","Both","","","","Herpes simplex virus 1+2 IgG Ab [Presence] in Serum","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","14588","0","","","","","","2.13","","HSV 1+2 IgG Ql (S)"
"38292-9","1,1-Dichloroethylene","MCnc","Pt","Water","Qn","","DRUG/TOX","2.34","MIN","","ACTIVE","","1","","","","","N","1,1-DCE; 1,1-Dichloroethene; Asym-dichloro-ethylene; DCE; DRUG/TOXICOLOGY; Drugs; i; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; Vinylidene; Vinylidine; Wat","1,1-DCE Wat-mCnc","Observation","","","","1,1-Dichloroethylene [Mass/volume] in Water","","","","","0","0","","","","","","2.13","","1,1-Dichloroethylene (Water) [Mass/Vol]"
"39785-1","Potassium","SCnc","Pt","Dial fld prt","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","N","Chemistry; Diaf; DiafP; Dialysate; Dialysis fluid; k; K+; Kidney; Level; Nephrology; Peritoneal Dialysis fluid; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Renal; Substance Concentration","Potassium DiafP-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Peritoneal dialysis fluid","mmol/L","","","","0","0","","","","","","2.15","","Potassium (Perit dial fld) [Moles/Vol]"
"39789-3","Potassium","SCnc","Pt","BldV","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","N","Bld ven; Bld venous; Blood - venous; Blood ven; Blood venus; Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration; Venous","Potassium BldV-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Venous blood","mmol/L","","","","253","0","","","","","","2.15","","Potassium (BldV) [Moles/Vol]"
"39790-1","Potassium","SCnc","Pt","BldC","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","N","Blood - capillary; Cap bld; Cap blood; Capillary bld; Capillary blood; Chemistry; Finger stick; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration","Potassium BldC-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Capillary blood","mmol/L","","","","3536","0","","","","","","2.15","","Potassium (BldC) [Moles/Vol]"
"41598-4","Bacteria","PrThr","Pt","Pericard fld","Ord","Microscopy.light","MICRO","2.70","MIN","","ACTIVE","","1","","1-4+","","","N","Bact; Cardio; Cardiology; Heart Disease; ID; Infectious Disease; InfectiousDisease; LM; Micro; Microbiology; Micros; Microscopic; Ordinal; PCAR; Pericardial Fluid; Point in time; PR; QL; Qual; Qualitative; Random; Screen","Bacteria Pcar Ql Micro","Both","","","","Bacteria [Presence] in Pericardial fluid by Light microscopy","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","","","","","","2.16","","Bacteria LM Ql (Pericard fld)"
"41599-2","Bacteria","PrThr","Pt","Body fld","Ord","Microscopy.light","MICRO","2.73","MIN","","ACTIVE","","1","","1-4+","","","N","B/F; Bact; BF; bod; Bodies; Body fluid; Body fluid, unsp; Fl; Fld; FLU; Fluid; ID; Infectious Disease; InfectiousDisease; LM; Micro; Microbiology; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen","Bacteria Fld Ql Micro","Both","","","","Bacteria [Presence] in Body fluid by Light microscopy","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","4384","0","","","","","","2.16","","Bacteria LM Ql (Body fld)"
"41600-8","Bacteria","PrThr","Pt","Synv fld","Ord","Microscopy.light","MICRO","2.70","MIN","","ACTIVE","","1","","1-4+","","","N","Bact; ID; Infectious Disease; InfectiousDisease; Joint aspirate; Joint fld; Joint flu; Joint fluid; LM; Micro; Microbiology; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Rheum; Rheumatology; Screen; SF; SNV; Syn; Syn fl; Synov; Synovial fluid","Bacteria Snv Ql Micro","Both","","","","Bacteria [Presence] in Synovial fluid by Light microscopy","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","","","","","","2.16","","Bacteria LM Ql (Syn fld)"
"41601-6","Bacteria","PrThr","Pt","Periton fld","Ord","Microscopy.light","MICRO","2.70","MIN","","ACTIVE","","1","","1-4+","","","N","Ascites; Ascitic fluid; Ascitis; Bact; ID; Infectious Disease; InfectiousDisease; LM; Micro; Microbiology; Micros; Microscopic; Ordinal; Peritoneal fluid; Point in time; PR; QL; Qual; Qualitative; Random; Screen","Bacteria Prt Ql Micro","Both","","","","Bacteria [Presence] in Peritoneal fluid by Light microscopy","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","","","","","","2.16","","Bacteria LM Ql (Periton fld)"
"41602-4","Bacteria","PrThr","Pt","CSF","Ord","Microscopy.light","MICRO","2.73","MIN","","ACTIVE","","1","","1+,2+,3+ etc..","","","N","Bact; Cerebral spinal fluid; Cerebrospinal Fl; ID; Infectious Disease; InfectiousDisease; LM; Micro; Microbiology; Micros; Microscopic; Neuro; Neurology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid","Bacteria CSF Ql Micro","Both","","","","Bacteria [Presence] in Cerebral spinal fluid by Light microscopy","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","7846","0","","","","","","2.16","","Bacteria LM Ql (CSF)"
"41603-2","Bacteria","PrThr","Pt","Plr fld","Ord","Microscopy.light","MICRO","2.70","MIN","","ACTIVE","","1","","1-4+","","","N","Bact; ID; Infectious Disease; InfectiousDisease; LM; Lung; Micro; Microbiology; Micros; Microscopic; Ordinal; Pleural; Pleural fluid; Point in time; PR; Pulmonary; Pulmonology; Ql; Qual; Qualitative; Random; Respiratory; Screen; thoracentesis fluid","Bacteria Plr Ql Micro","Both","","","","Bacteria [Presence] in Pleural fluid by Light microscopy","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","","","","","","2.16","","Bacteria LM Ql (Pleur fld)"
"41656-0","Potassium","SCnc","Pt","BldMV","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","N","Bld mixed venous; Blood - mixed venous; Chemistry; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration","Potassium BldMV-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Mixed venous blood","mmol/L","","","","2365","0","","","","","","2.16","","Potassium (BldMV) [Moles/Vol]"
