PRODUCTID	PRODUCTNDC	PRODUCTTYPENAME	PROPRIETARYNAME	PROPRIETARYNAMESUFFIX	NONPROPRIETARYNAME	DOSAGEFORMNAME	ROUTENAME	STARTMARKETINGDATE	ENDMARKETINGDATE	MARKETINGCATEGORYNAME	APPLICATIONNUMBER	LABELERNAME	SUBSTANCENAME	ACTIVE_NUMERATOR_STRENGTH	ACTIVE_INGRED_UNIT	PHARM_CLASSES	DEASCHEDULE	NDC_EXCLUDE_FLAG	LISTING_RECORD_CERTIFIED_THROUGH
0002-4455_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4455	HUMAN PRESCRIPTION DRUG	ZYPREXA	Zydis	Olanzapine	TABLET, ORALLY DISINTEGRATING	ORAL	20010901		NDA	NDA021086	Eli Lilly and Company	OLANZAPINE	15	mg/1	Atypical Antipsychotic [EPC]		Y	20261231
0002-4456_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4456	HUMAN PRESCRIPTION DRUG	ZYPREXA	Zydis	Olanzapine	TABLET, ORALLY DISINTEGRATING	ORAL	20010901		NDA	NDA021086	Eli Lilly and Company	OLANZAPINE	20	mg/1	Atypical Antipsychotic [EPC]		Y	20261231
0002-4462_b08910e8-672e-43a3-a2a3-44b87b2d381a	0002-4462	HUMAN PRESCRIPTION DRUG	Cialis		Tadalafil	TABLET, FILM COATED	ORAL	20031126		NDA	NDA021368	Eli Lilly and Company	TADALAFIL	5	mg/1	Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]		Y	20251231
0002-4463_b08910e8-672e-43a3-a2a3-44b87b2d381a	0002-4463	HUMAN PRESCRIPTION DRUG	Cialis		Tadalafil	TABLET, FILM COATED	ORAL	20031126		NDA	NDA021368	Eli Lilly and Company	TADALAFIL	10	mg/1	Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]		Y	20251231
0002-4464_b08910e8-672e-43a3-a2a3-44b87b2d381a	0002-4464	HUMAN PRESCRIPTION DRUG	Cialis		Tadalafil	TABLET, FILM COATED	ORAL	20031126		NDA	NDA021368	Eli Lilly and Company	TADALAFIL	20	mg/1	Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]		Y	20251231
0002-4465_b08910e8-672e-43a3-a2a3-44b87b2d381a	0002-4465	HUMAN PRESCRIPTION DRUG	Cialis		Tadalafil	TABLET, FILM COATED	ORAL	20080107		NDA	NDA021368	Eli Lilly and Company	TADALAFIL	2.5	mg/1	Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]		Y	20251231
0002-4479_6f2a9826-7cb2-4eac-8bf2-52b5af794477	0002-4479	HUMAN PRESCRIPTION DRUG	Olumiant		baricitinib	TABLET, FILM COATED	ORAL	20220510		NDA	NDA207924	Eli Lilly and Company	BARICITINIB	4	mg/1	Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]		Y	20251231
0002-4483_3126d248-b8dc-4225-a886-bd8bed04de5b	0002-4483	HUMAN PRESCRIPTION DRUG	Verzenio		abemaciclib	TABLET	ORAL	20170928		NDA	NDA208716	Eli Lilly and Company	ABEMACICLIB	50	mg/1	Kinase Inhibitor [EPC], Kinase Inhibitors [MoA]		Y	20261231
0002-4491_75a13e98-3736-4256-8277-6c05bcaddcf5	0002-4491	HUMAN PRESCRIPTION DRUG	Reyvow		lasmiditan	TABLET	ORAL	20191011		NDA	NDA211280	Eli Lilly and Company	LASMIDITAN	100	mg/1		CV	Y	20251231
0002-4732_6f2a9826-7cb2-4eac-8bf2-52b5af794477	0002-4732	HUMAN PRESCRIPTION DRUG	Olumiant		baricitinib	TABLET, FILM COATED	ORAL	20191008		NDA	NDA207924	Eli Lilly and Company	BARICITINIB	1	mg/1	Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]		Y	20251231
